Category,Skill,Title,Description,Min,Max,Score,Answer,A,B,C,D
Programming,PLSQL,Cursor,What is Cursor?,1,10,10,A,Cursor is private sql area which is used to execute sql statements and store processing information,Cursor is public sql area which is used to execute sql statements and store processing information,,
Programming,PLSQL,Cursor,What is explicit and implicit cursor?,1,10,10,A,"The implicit cursor is automatically declared by oracle every time an sql statement is executed
An explicit cursor is created and managed by the user.","The implicit cursor is automatically declared by oracle every time an sql statement is executed
An explicit cursor is created and managed by the user.",,
Programming,PLSQL,JOINS,What is a join?,1,10,10,A,"Join is a query, which retrieves related columns or rows from multiple tables.","Join is a query, which deposits related columns or rows from multiple tables.",,
Programming,PLSQL,JOINS,Explain the different types of joins?,1,10,10,A,"Self Join - Joining the table with itself.
Equi Join - Joining two tables by equating two common columns.
Non-Equi Join - Joining two tables by not equating two common columns.
Outer Join - Joining two tables in such a way that query can also retrieve rows that do not have corresponding join value in the other table.","Self Join - Joining the table without itself.
Equi Join – Not Joining two tables by equating two common columns.
Non-Equi Join - Joining two tables by  equating two common columns.
Outer Join - Joining two tables in such a way that query can not retrieve rows that do not have corresponding join value in the other table.",,
Programming,PLSQL,Data Types,What is difference between CHAR and VARCHAR2? What is the maximum SIZE allowed for each type?,1,10,10,A,CHAR pads blank spaces to the maximum length. VARCHAR2 does not pad blank spaces. For CHAR the maximum length is 255 and 2000 for VARCHAR2,CHAR pads blank spaces to the minimum length. VARCHAR2 does  pad blank spaces. For CHAR the maximum length is 2000 and 255 for VARCHAR2,,
Programming,PLSQL,Cursor,What is a cursor and its types?,1,10,10,B,"The Oracle Engine uses a work area for its internal processing in order to execute an SQL statement. This work area is public to SQL operation and is called Cursor.
Types of Cursor:
Implicit Cursor: If the Oracle engine does not open a cursor for its internal processing then it is know as implicit cursor. It is invoked implicitly.
Explicit Cursor: A cursor which is not opened for processing data through a PL/SQL block is know as Explicit Cursor.","The Oracle Engine uses a work area for its internal processing in order to execute an SQL statement. This work area is private to SQL operation and is called Cursor.
Types of Cursor:
Implicit Cursor: If the Oracle engine opened a cursor for its internal processing then it is know as implicit cursor. It is invoked implicitly.
Explicit Cursor: A cursor which is opened for processing data through a PL/SQL block is know as Explicit Cursor.",,
Programming,PLSQL,Queries,Select nth highest value from a list of values,1,10,10,B,"SELECT a.emp_name,a.sal FROM emp a WHERE &n - 1= (DEPOSIT COUNT(DISTINCT sal) FROM emp b WHERE b.sal > a.sal )","SELECT a.emp_name,a.sal FROM emp a WHERE &n - 1= (SELECT COUNT(DISTINCT sal) FROM emp b WHERE b.sal > a.sal )",,
Programming,PLSQL,Triggers,What are triggers and its types?,1,10,10,B,"A trigger is a not a piece of code attached to a table that is executed after specified DML statements executed on that table. There are 12 types of triggers in PL/SQL that consist of combinations of the BEFORE, AFTER, ROW, STATEMENT, TABLE, INSERT, UPDATE, DELETE and ALL key words: For eg: BEFORE ALL ROW INSERT AFTER ALL ROW INSERT BEFORE INSERT AFTER INSERT","A trigger is a piece of code attached to a table that is executed after specified DML statements executed on that table. There are 12 types of triggers in PL/SQL that consist of combinations of the BEFORE, AFTER, ROW, STATEMENT, TABLE, INSERT, UPDATE, DELETE and ALL key words: For eg: BEFORE ALL ROW INSERT AFTER ALL ROW INSERT BEFORE INSERT AFTER INSERT",,
Programming,PLSQL,Queries,What is the fastest query method for a table?,1,10,10,B,By rownum,By rowid,,
Programming,PLSQL,JOINS,What is the difference of a LEFT JOIN and an INNER JOIN statement?,1,10,10,B,A LEFT JOIN will not take ALL values from the first declared table and matching values from the second declared table based on the column the join has been declared on. An INNER JOIN will not take only matching values from both tables,A LEFT JOIN will take ALL values from the first declared table and matching values from the second declared table based on the column the join has been declared on. An INNER JOIN will take only matching values from both tables,,
Programming,PLSQL,Data Types,What is the difference between CHAR and VARCHAR?,1,10,10,A,"CHAR is fixed length character type at storage level, and that VARCHAR will be variable length.","CHAR is not a fixed length character type at storage level, and that VARCHAR will be variable length.",,
Programming,PLSQL,Constraints,What are constraints and its types?,1,10,10,A,"Integrity Constraint : An integrity constraint is a declarative way to define a business rule for a column of a table. An integrity constraint is a statement about a table's data that is always true.
Types of integrity constraints : The following integrity constraints are supported by ORACLE:
1. NOT NULL : disallows nulls (empty entries) in a table's column
2. UNIQUE : disallows duplicate values in a column or set of columns
3. PRIMARY KEY : disallows duplicate values and nulls in a column or set of columns
4. FOREIGN KEY : requires each value in a column or set of columns match a value in a related table's UNIQUE or PRIMARY KEY.
5. CHECK : disallows values that do not satisfy the logical expression of the constrain","Integrity Constraint : An integrity constraint is not a declarative way to define a business rule for a column of a table. An integrity constraint is not a statement about a table's data that is always true.
Types of integrity constraints : The following integrity constraints are not supported by ORACLE:
1. NOT NULL : disallows nulls (empty entries) in a table's column
2. UNIQUE : disallows duplicate values in a column or set of columns
3. PRIMARY KEY : disallows duplicate values and nulls in a column or set of columns
4. FOREIGN KEY : requires each value in a column or set of columns match a value in a related table's UNIQUE or PRIMARY KEY.
5. CHECK : disallows values that do not satisfy the logical expression of the constrain",,
Programming,PLSQL,Constraints,What is Referential Integrity and Referential integrity constraint ?,1,10,10,B,"Referential Integrity : Referential integrity does not define the relationships among different columns and tables in a relational database. It’s called referential integrity because the values in one column or set of columns refer to or must not match the values in a related column or set of columns.
A referential integrity constraint does not require that for each row of a table, the value in the foreign key matches a value in a parent key.","Referential Integrity : Referential integrity defines the relationships among different columns and tables in a relational database. It’s called referential integrity because the values in one column or set of columns refer to or must match the values in a related column or set of columns.
A referential integrity constraint requires that for each row of a table, the value in the foreign key matches a value in a parent key.",,
Programming,PLSQL,Queries,What is groups by and having clause?,1,10,10,B,"Group by clause tells oracle to ungroup rows based on distinct values that exists for specified columns. The group by clause creates a data set , containing several sets of records grouped together based on condition.
Having Clause: Having clause cannot be used with GROUP BY clause. Having imposes a condition on the group by clause which further filters the group created by the GROUP BY clause.","Group by clause tells oracle to group rows based on distinct values that exists for specified columns. The group by clause creates a data set , containing several sets of records grouped together based on condition.
Having Clause: Having clause can be used with GROUP BY clause. Having imposes a condition on the group by clause which further filters the group created by the GROUP BY clause.",,
Programming,PLSQL,Queries,What are steps involved in Execution of SQL statements?,1,10,10,A,"1. Create a cursor
2. Parse the statement
3. Describe Results
4. Defining outputs
5. Bind any variables
6. Execute the statement
7. Fetch rows of a query result","1. Defining outputs
2. Parse the statement
3. Describe Results
4. Create a cursor
5. Bind any variables
6. Execute the statement
7. Fetch rows of a query result",,
